start	end	text
0	2640	This thing is ranked number one on GitHub right now.
2640	3640	It's completely free.
3640	5600	And almost nobody has set this up yet.
5600	6480	So here's the deal.
6480	7560	It's called Rooflo.
7560	11200	And basically what it does is it spins up 60 plus AI agents
11200	13560	that all work together to build whatever you want.
13560	16680	And they actually get better after every single run.
16680	17560	Pretty freaking cool.
17560	19600	So you've got queen agents that manage the teams
19600	22840	and tactical agents that handle all the actual work.
22840	25800	Researching, coding, testing, reviewing, all of it.
25800	27600	And they all share a collective memory
27600	28800	so they improve over time.
28800	30520	But here's the thing that makes this insane.
30520	33200	It figures out how complex your task is
33200	35760	and routes it to the right model automatically.
35760	38880	Simple task goes to a cheap model, complicated task
38880	40240	goes to a powerful one.
40240	42680	So you can cut your token usage by up to 50%
42680	45840	and extend your cloud code usage by 250%.
45840	46720	That's nuts.
46720	48560	It's open source, completely free,
48560	50800	and ranked number one on GitHub, not bad.
50800	52280	Drop flow in the comments
52280	54240	and I'll send you the full setup guide.
