start	end	text
0	3100	If you notice, it goes, add, please drop in in comments because I want a person
3100	5500	thank you for dropping this generational advice.
5500	8500	If you want to get a Porsche 911 in 28 days, here's what you need to do.
8500	12500	Go to Airbnb, find a rich guy's list saying, make sure it's in a nice area, screenshot
12500	17100	the page and go to openart.ai-sashdirector, type in this exact prompt with the screenshot.
17100	21000	It will vibe direct to a walk through video and it can make up to five minute long videos.
21000	22500	But here's how you're actually going to make money.
22500	26500	Grow to the bottom of the listing and click message host, sell it to them for $500.
26500	29900	Do this twice a day for the next 28 days and you've got yourself a 911.
29900	33400	So I've been doing this for around a week and already made an absurd amount of money.
33400	36820	And if you don't want to miss out on money, either here's the website we used or just comment
36820	38600	a yeah, I'll send you an entire guy.
