start	end	text
0	5560	You can now give Claude infinite memory and reduce your token usage by 71.5 times by installing
5560	8440	this one skill, these are the three easy steps.
8440	13440	By the way, this is based on Andre Corpathy's system with the inventor of vibe coding.
13440	15680	So he kind of knows what he's talking about, you know?
15680	20760	The first step is to go to Disgiatry Repo scroll down, copy this inside of your Claude code.
20760	25360	Once installed, run the graphified skill inside of your main Claude folder so it will map
25360	28640	out every single file inside of that folder.
28640	31880	By the way, if you want to skip all of that and you want to copy just one command,
31880	34520	comment, graph and make sure to follow me.
34520	39520	Then go to obsidian.md, download it, open your main Claude folder as a fault, click
39520	44320	open Graph View and you will get something like this or like this.
44320	48640	The third step is to add this inside of your Claude.md file so every time we send a prompt,
48640	53480	it will look at the map that it built and use 75 times fewer tokens.
53480	57600	If you want the full step by step guide including the cool visual you can build, just comment,
57600	61520	graph and I'll send it to you, otherwise make sure to follow the scum for more videos like this.
