start	end	text
0	3440	Here are five free certifications that every student needs on their resume.
3440	5520	Number one is Google AI Essentials.
5520	8560	This is the number one skill that many employers are looking for right now and Google will
8560	10000	certify this for you for free.
10000	12320	And the best part is you can complete it in under two hours.
12320	14240	The second one is HubSpot Digital Marketing.
14240	18640	This free certification is recognized by nearly every employer and it only takes around five hours to complete.
18640	20560	The third one is GitHub Foundations.
20560	24880	This certificate proves to employers that you know the one tech tool that nearly every company uses.
24880	26880	So fourth one is IBM Skills Bill.
26880	31200	This is a cyber security certification that is not only free but also gives you 12 college credits.
31200	33600	And the last one is the Cloud Certified Architect Certification.
33600	37280	This one is of course highly relevant right now and companies are even paying their employees
37280	38960	thousands of dollars just to complete it.
38960	43040	If you simply comment, resume down below, I'll send you the link of all of these plus 20 more certifications.
