start	end	text
0	2900	If you are new to Cloud Code, do not watch another tutorial
2900	4800	until you do this one thing first.
4800	7320	And Droppic has released a GitHub repository
7320	9640	and they are the company behind Cloud Code.
9640	12000	This repository includes skills, cookbooks,
12000	13880	prompt engineering guides, full courses,
13880	16360	quick start resources, and even the source code
16360	18160	for Cloud Code itself.
18160	20560	Many people spend time scrolling through content,
20560	23280	installing random skills, and becoming overwhelmed.
23280	25960	A more effective approach is to use this repository
25960	26960	as a foundation.
26960	28720	You can bring it into Cloud Code and use it
28720	31240	to explore the basics, learn structured workflows,
31240	32880	and build a strong starting point.
32880	34960	This allows you to work from a reliable source,
34960	37280	rather than relying on trial and error.
37280	40160	If anyone understands how to use Cloud Code effectively,
40160	41720	it is the team that created it.
41720	43280	You can find the repository link
43280	45360	and a starter workflow in the caption.
45360	47520	DM's send, and I'll send you the link.
